HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.answerA,Answer.answerB,Answer.answerC,Answer.answerD,Answer.answerE,Answer.answerF,Answer.image.label,Answer.question,Approve,Reject
3UL5XDRDNBIVO936R1GC0IATJJZ85N,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 22:35:59 PDT 2020,3,BatchId:4191390;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 22:35:59 PDT 2020,,,3H7XDTSHKCQ7GRM2W2KA7F0QP4NGWL,AXGOXCEMCML9H,Approved,Sun Sep 20 02:21:05 PDT 2020,Sun Sep 20 02:22:31 PDT 2020,Mon Sep 21 02:22:31 PDT 2020,Sun Sep 20 09:19:22 PDT 2020,,,86,100% (41/41),100% (41/41),100% (41/41),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-19-20_38_46.png,Add gentamicin to cefazolin,Add rifampin to cefazolin,Change cefazolin to vancomyci,Obtain CT of the chest with contrast,Obtain transesophageal echocardiogram,,E,"A 48-year-old man comes to the emergency department with a 4-day history of shortness of breath and fever. He is a chronic injection drug user.
 He has a history of a rash secondary to penicilin but has been treated previously for skin abscesses with cephalexin.
 His temperature is 38.5 C (101.4 F). Cardiac examination reveals a faint diastolic murmur at the left sternal border. Skin examination shows
 needle track marks on both arms.
 All 4 bottles of blood cultures obtained on admission grow Staphylococcus aureus (methicillin-susceptible). Intravenous cefazolin is initiated. A
 transthoracic echocardiogram reveals a 0.9 cm aortic valve vegetation with milid aortic regurgitation and normal left ventricular ejection fraction.
 On the third day of hospitalization, he is intermittently febrile and develops respiratory failure. Endotracheal intubation and mechanical ventilation
 is initiated. Chest x-ray reveals bilateral alveolar opacities consistent with pulmonary edema.
 Which of the following is the best next step in the management of this patient?",,
32L724R85KJS6PX2K21HBD9ODF5IPR,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 22:35:59 PDT 2020,3,BatchId:4191390;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 22:35:59 PDT 2020,,,3R2PKQ87NW7P76YJIOEQJTBF6FWIMJ,ATLK237BEQCKI,Approved,Sat Sep 19 23:55:04 PDT 2020,Sun Sep 20 00:00:33 PDT 2020,Mon Sep 21 00:00:33 PDT 2020,Sun Sep 20 09:19:24 PDT 2020,,,329,100% (9/9),100% (9/9),100% (9/9),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-19-20_40_23.png,Atovaquone-proguanil,Ciprofloxacin,Clarithromycin,Mebendazole,Nifurtimox,,A,"A 36-year-old man comes to the travel clinic prior to a safari in East Africa. He has a history of intermittent asthma, and he take albuterol as needed. The patient has no allergies. Physical examination is unremarkable. He inquires about malaria prophylaxis. Which of the following could be recommended for malaria prophylaxis in this patient?",,
3UV0D2KX1LIM759TLA385IL16RDF42,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:20 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:20 PDT 2020,,,37QW5D2ZRGLZGVZBTZYLIDG7V398S3,A1D6CUN4HL57KY,Approved,Fri Sep 18 22:11:22 PDT 2020,Fri Sep 18 22:19:12 PDT 2020,Sat Sep 19 22:19:12 PDT 2020,Sat Sep 19 07:07:57 PDT 2020,,,470,100% (67/67),100% (67/67),100% (52/52),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_46_52.png,Lower the dose of lisinopril (0%),Order chest x-ray (2%),Order pulmonary function test (0%),Stop lisinopril and start losartan (96%),Stop lisinopril and start ramipril (0%),,D,"A 65-year-old overweight woman comes to the physician with 4 weeks of persistent dry. hacking cough that interferes with her sleep. She has minimal sputum production and no associated upper respiratory symptoms, dyspnea, fever, chills, or generalized malaise. She has never had asthma or episodes of wheezing. She does not smoke cigarettes. Her medical problems include newly diagnosed hypertension, hyperiipidemia, and osteoarthritis of the knees. Her blood pressure is currently well controlled with hydrochlorothiazide and lisinopril. In the past, she developed severe lower-extremity swelling and palpitations with amlodipine. Her blood pressure is 130/80 mm Hg, pulse is 84/min, and respirations are 14/min. Pulse oximetry shows 95% on room air. Cardiopulmonary examination is unremarkable. Laboratory results are as follows: Potassium 4.6 mEq/L Creatinine 1.1 mg/dL Which of the following is the best next step in managing this patient?",,
3DGDV62G7N8OV4J0VZGPOX27OJ42PW,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:19 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:19 PDT 2020,,,3G5W44VEU7HGLRSL7O17J46V2SBGKC,A1D6CUN4HL57KY,Approved,Fri Sep 18 22:35:28 PDT 2020,Fri Sep 18 22:42:30 PDT 2020,Sat Sep 19 22:42:30 PDT 2020,Sat Sep 19 07:00:38 PDT 2020,,,422,100% (67/67),100% (67/67),100% (52/52),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_33_36.png,Balance training exercises (16%),Discontinuation of rosuvastatin (2%),High-carbohydrate meals (2%),Smaller and more frequent meals (70%),Tighter glucose control (7%),,D,"A 75-year-old man residing in a nursing home comes to the office due to episodic lightheadedness over the last 6 months. He feels like he is ""graying out"" and then has to tie down and close his eyes. The patient has lost consciousness twice over the past 2 months. Tonic-clonic movements have not been observed and there is no associated incontinence. He has not had chest pain, nausea, palpitations, headache, or speech difficulties. The patient's appetite has been good and he eats 3 meals a day. He describes mild lightheadedness occasionally in the morning, but the more severe episodes usually occur between 2:00 and 3:00 PM and around 8:00 PM. The patient has a history of hypertension, hyperiipidemia, mild cognitive impairment, and type 2 diabetes mellitus. Current medications include hydrochlorothiazide, metformin, rosuvastatin, lisinopril, and low-dose aspirin. There have been no recent changes in his medications. Blood pressure is 124/82 mm Hg supine and 116/80 mm Hg upright, pulse is 84/min in both positions, and respirations are 14/min. Cardiac, lung, and abdominal examinations are unremarkable. Neurologic examination reveals a decreased sensation to light touch in both distal lower extremities and absent ankle deep tendon reflexes bilaterally. Fas:ing aooratcy results are as 'allows: Hemoglobin 11.5 g'dL Potassium 3.4 mEq/L Blood urea nitrogen 11 mg/dL Creatinine 0.8 mg/dL Glucose 154 mg/dL HbA1c 7.9% Which of the following is most likely to provide symptomatic improvement in this patient?",,
3FSEU3P2NQZQB1G0NHZFU0AU1TERRY,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sun Sep 20 09:51:31 PDT 2020,3,BatchId:4191571;OriginalHitTemplateId:928390828;,2400,86400,Wed Sep 23 09:51:31 PDT 2020,,,3S4AW7T80BHBTHHJXNB7PFM71T44LP,A3CWDNKSA1CJZJ,Approved,Sun Sep 20 09:54:11 PDT 2020,Sun Sep 20 10:21:52 PDT 2020,Mon Sep 21 10:21:52 PDT 2020,Sun Sep 20 12:55:11 PDT 2020,,,1661,100% (37/37),100% (37/37),100% (37/37),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-20-00_31_27.png,Babesia microti,Borrelia burgdorferi,Colorado tick fever,Ehrlichia chaffeensis,Rickettsia rickettsii,,D,"A 34-year-old man comes to the physician due to high fever, malaise, and intermittent headaches for the last 4-5 days. He has no nausea, vomiting, abdominal pain, or neck stiffness. He recently returned from hiking for several days in wooded areas in Missouri. His past medical history is unremarkable.
 
 The patient's temperature is 38.9 C (102 F), blood pressure is 118/78 mm Hg, pulse is 100/min, and respirations are 16/min. Physical examination shows a faint, non-pruritic, maculopapular rash confined to the trunk without central clearing. The remainder of the physical examination is unremarkable.
 
 Laboratory results are as follows:
 
 Complete blood count
 Hemoglobin 13.8 g/dL
 Hematocrit 42%
 Mean corpuscular volume 84 m3
 Platelets 90,000/mm3
 Leukocytes 2,900/mm3
 
 Which of the following is the most likely cause of his current condition?",,
336OE47KI1JNC4E3VVEVIW7EEE0WVT,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 08:05:31 PDT 2020,3,BatchId:4191076;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 08:05:31 PDT 2020,,,30BUDKLTXDUFJUBRU67DHC21SNI5EI,A3CWDNKSA1CJZJ,Approved,Sat Sep 19 08:20:56 PDT 2020,Sat Sep 19 08:22:36 PDT 2020,Sun Sep 20 08:22:36 PDT 2020,Sat Sep 19 16:40:55 PDT 2020,,,100,100% (13/13),100% (13/13),100% (13/13),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-18-23_41_52.png,Add diltiazem,Add ranolazine,Add valsartan,Discontinue metoprolol and start diltiazem,Increase isosorbide mononitrate to twice daily,,B,"A 69-year-old man with a history of coronary artery disease comes to the office with chest pain on moderate exertion. Over the last year, he has experienced pressure-like chest pain when walking at a fast pace or climbing stairs. He thinks this affects his quality of life as he has to stop to rest and take sublingual nitroglycerin each time. The patient has no shortness of breath, lightheadedness, syncope, or lower extremity swelling. He underwent coronary artery bypass surgery 8 years ago and has had 2 percutaneous coronary interventions over the last 2 years. Current medications include metoprolol succinate, amlodipine, lisinopril, extended-release isosorbide mononitrate, aspirin, clopidogrel, high-intensity rosuvastatin, and sublingual nitroglycerin as needed. He stopped smoking 10 years ago and does not drink alcohol.
 
 Blood pressure is 105/65 mm Hg and pulse is 55/min. The lungs are clear on auscultation. ECG shows normal sinus rhythm with T-wave inversion in leads Ill and aVF and a QTc interval of 410 msec. His last serum creatinine was 0.8 mg/dL and LDL cholesterol level was 68 mg/dL. Echocardiogram shows apical hypokinesis with left ventricular ejection fraction of 55%. Myocardial perfusion imaging reveals moderate ischemia of the inferior wall. Coronary angiography shows no intervenable lesions.
 
 Which of the following is the best next step in management of this patient's symptoms?",,
3G5RUKN2EB2ZS3SM0TICUV5QUAD9NZ,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:19 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:19 PDT 2020,,,3PM8NZGV8YFDIGL693L83CIZ4NMQXR,A2G6O3F81FL149,Approved,Fri Sep 18 20:29:43 PDT 2020,Fri Sep 18 20:32:20 PDT 2020,Sat Sep 19 20:32:20 PDT 2020,Sat Sep 19 07:00:39 PDT 2020,,,157,100% (8/8),100% (8/8),100% (8/8),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_32_00.png,Hemodynamic monitoring with pulmonary artery catheter,Intra-aortic balloon pump insertion,Milrinone infusion,Norepinephrine Infusion,Percutaneous coronary intervention,,E,"A 72-year-old woman with type 2 diabetes mellitus is brought to the emergency department with dyspnea and chest pressure that started about 6 hours earlier.
 
 Her blood pressure is 82/62 mm Hg and pulse is 104/min. Pulse oximetry shows 92% on 15 L oxygen by face mask. She Is mildly confused Examination shows moist oral mucosa and distended neck veins in a sitting position. The apical impulse is displaced to the left with a third heart sound. Lung examination shows fine crackles one third of the way up in bilateral lung fields. Lower extremities are cold to the touch with weak peripheral pulses
 
 Her initial ECG shows sinus tachycardia and a new left bundle branch block.
 
 Which of the following measures instituted immediately is most likely to improve survival in this patient?",,
3GMLHYZ0LDWROUK356ME77QBBFQUY0,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:19 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:19 PDT 2020,,,3IQ1VMJRYTJVU4WRHRI8X9HCT3QA94,A2I0M1XXACA4WE,Approved,Fri Sep 18 23:42:29 PDT 2020,Sat Sep 19 00:14:50 PDT 2020,Sun Sep 20 00:14:50 PDT 2020,Sat Sep 19 07:00:40 PDT 2020,,,1941,100% (24/24),100% (24/24),100% (20/20),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_44_08.png,A. Clopidogrel (1%),B. Intravenous hydralazine (1%),C. Intravenous labetalol (71%),D. Intravenous nitroprusside (22%),E. Unfractionated heparin (3%),Not Available,C,"A 66-year-old retired police officer is brought to the emergency department due to abrupt-onset sharp anterior chest pain. The pain started approximately 2 hours ago while he was working on his car in the garage. The patient describes the pain, which radiates to his neck and lower jaw, as ""the worst pain of my life."" He also has epigastric discomfort. Medical problems include hypertension, hyperlipidemia, and benign prostatic hyperplasia. Medications include hydrochlorothiazide, losartan, tamsulosin, atorvastatin, and daily aspirin. The patient has a 30-pack-year smoking history but quit approximately 5 years ago. He is physically active and jogs 2-3 miles on most days. 
 
 Temperature is 37.2 C (99 F), blood pressure is 201/104 mm Hg in the right upper arm and 198/94 mm Hg in the left upper arm, pulse is 90/min, and respirations are 22/min. Pulse oximetry is 95% on room air. The patient appears very uncomfortable due to pain. There is a faint early diastolic murmur at the left sternal border and an $4 at the apex. The lungs are clear to auscultation. Mild epigastric tenderness is present on deep palpation without rebound. There is no peripheral edema, and lower extremity pulses are symmetric. 
 
 ECG shows high-voltage QRS complexes in the precordial leads and nonspecific ST-segment and T-wave changes. 
 
 Which of the following is the most appropriate initial treatment for this patient?",,
3R0WOCG21L8OQJPC9AZ0UMGATLQUDM,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Thu Sep 10 20:03:56 PDT 2020,5,BatchId:4181336;OriginalHitTemplateId:928390828;,2400,86400,Sun Sep 13 20:03:56 PDT 2020,,,37Z929RLG97IEFRZWX9G99CU8PRSTQ,A55F6J0VK7TLV,Approved,Thu Sep 10 20:24:12 PDT 2020,Thu Sep 10 20:35:58 PDT 2020,Fri Sep 11 20:35:58 PDT 2020,Fri Sep 11 07:01:15 PDT 2020,,,706,100% (1/1),100% (1/1),100% (1/1),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-09-21_47_35.png,High body mass index,Hypertension,Hyponatremia,Noncardiac cause of dyspnea,Older age,,A,"A 76-year-old man is seen in the emergency department with cough and worsening dyspnea over the last 2 days. He awoke suddenly last night gasping for air and could not get comfortable in any position. He has no fever or chills. The patient's other medical problems include hypertension and type 2 diabetes mellitus. He has a 40-pack-year smoking history and drinks beer occasionally.
 
 His temperature is 37.2Â° C (99Â° F), blood pressure is 150/90 mm Hg, pulse is 106/min, and respirations are 25/min. Pulse oximetry is 94% on 2 L Oâ‚‚. Body mass index is 35 kg/mÂ². Jugular venous pressure is measured at 12 cm Hâ‚‚O. He appears in mild respiratory distress. Heart sounds are distant but no murmurs are heard. Lung examination shows bibasilar crackles and scattered bilateral wheezes. There is 1+ pitting ankle edema seen bilaterally.
 
 Laboratory results are as follows:
 Serum Chemistry
 Sodium 129 mEq/L
 Potassium 3.9 mEq/L
 Chloride 92 mEq/L
 Bicarbonate 29 mEq/L
 Blood urea nitrogen 22 mg/dL
 Creatinine 1.0 mg/dL
 Calcium 9.1 mg/dL
 Glucose 242 mg/dL 
 Brain natriuretic peptide 96 pg/mL (normal < 100 pg/mL)
 
 Chest x-ray reveals prominent vascular markings and blunting of costophrenic angles. Echocardiogram shows a diffusely hypokinetic left ventricle with ejection fraction of 35%.
 
 Which of the following best explains the normal brain natriuretic peptide value?",,
3LAZVA75NHQ6A47ZGZ3AZXXHEE82OF,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:19 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:19 PDT 2020,,,3HQUKB7LNFD3JXMOL9GSRC24PBQHHE,AE2CDTF7VQXCE,Approved,Fri Sep 18 23:53:22 PDT 2020,Fri Sep 18 23:55:11 PDT 2020,Sat Sep 19 23:55:11 PDT 2020,Sat Sep 19 07:00:43 PDT 2020,,,109,100% (5/5),100% (5/5),100% (5/5),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_32_41.png,Cardiac catheterization,Intravenous magnesium infusion,Intravenous nitroprusside infusion,MRI of the head,Transesophageal echocardiography,,E,"A 32-year-old woman, gravida 1 para 0, at 32 weeks gestation is brought to the emergency department due to anterior chest and neck pain that began 3 hours ago. The pain was severe at onset but has decreased to moderate discomfort. She also has had mild nausea and epigastric discomfort. After the onset of the chest pain, the patient experienced tingling and weakness of her right arm accompanied by blurry vision and headache that lasted approximately 20-30 minutes. She has had a healthy pregnancy except for development of gestational diabetes mellitus at 24 weeks gestation. The patient's blood pressure was elevated during her last prenatal visit, and she was started on an antihypertensive medication. She has no other significant medical history. She does not use tobacco, alcohol, or illicit drugs.
 
 On physical examination, the patient appears comfortable. Blood pressure is 176/104 mm Hg in the right arm and 180/99 mm Hg in the left arm, and pulse is 96/min. Oxygen saturation is 94% on room air. Her right pupil measures 4 mm and her left pupil measures 2 mm. There is slight ptosis on the left side. Lung fields are clear to auscultation with equal air entry on both sides. Cardiac examination reveals regular heart sounds with normal S1 and S2. The neurologic examination is otherwise unremarkable. Peripheral pulses are equal in all extremities. There is 2+ pitting peripheral edema of both lower extremities with some engorged varicose veins. There are normal deep tendon reflexes without clonus.
 
 ECG shows sinus rhythm and a 1-mm downsloping ST-segment depression in leads aVL, V5, and V6. Urinalysis shows 1+ ketones, no protein, and no glucose.
 
 Which of the following is the best next step in management of this patient?",,
3L1EFR8WWS4N4BF525ZZMQWHSJXF94,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sun Sep 20 09:51:30 PDT 2020,3,BatchId:4191571;OriginalHitTemplateId:928390828;,2400,86400,Wed Sep 23 09:51:30 PDT 2020,,,33JKGHPFYCTHL79AF4RIO17WSF6MNL,A2XI7O256DYI4G,Approved,Sun Sep 20 11:57:40 PDT 2020,Sun Sep 20 12:19:19 PDT 2020,Mon Sep 21 12:19:19 PDT 2020,Sun Sep 20 12:55:09 PDT 2020,,,1299,100% (31/31),100% (31/31),100% (24/24),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-20-00_30_24.png,Anti-parvovirus antibodies,Antirickettsial antibodies,Bone marrow biopsy,Borrelia burgdorferi serology,Peripheral blood microscopy,,E,"A 67-year-old man comes to the emergency department due to 2 days of fever,malaise,headache,and myalgia.He has also noticed a nonpruritic skin rash on his right leg.The patient has had no abdominal pain,vomiting,or diarrhea.Prior medical problems include hypertension,type 2 diabetes mellitus,and chronic obstructive pulmonary disease.He is an ex-smoker and does not use alcohol or illicit drugs.The patient lives in Texas and a week ago returned from visiting family in Connecticut,where he spent most of his time outdoors.
 
 Temperature is 39.4 C(103 F),blood pressure is 124/84 mm Hg,pulse is 102/min,and respirations are 20/min.Examination shows no scleral icterus or lymphadenopathy.Breath sounds are mildly decreased throughout.The abdomen is soft with no hepatosplenomegaly.There is no neck stiffness.A 4-cm,erythematous skin rash with central clearing is present on the right popliteal area.
 
 Laboratory results are as follows:
 
 Complete blood count
 
 Hemoglobin 13.2g/dL
 
 Platelets 80,000/mm3
 
 Leukocytes 2,800/mm3
 
 Liver function studies
 
 Total bilirubin 0.4 mg/dL
 
 Alkaline phosphatase 103 U/L
 
 Aspartate aminotransferase(SGOT) 124 U/L
 
 Alanine aminotransferase(SGPT) 142 U/L
 
 Chest x-ray reveals no parenchymal opacity or pleural effusion.
 
 Which of the following dignostic studies is most appropriate for this patient?",,
3AFT28WXLE1ALPL152O2MD4Y30ZOIM,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Mon Sep 07 17:38:34 PDT 2020,5,BatchId:4177193;OriginalHitTemplateId:928390828;,2400,86400,Thu Sep 10 17:38:34 PDT 2020,,,3RANCT1ZVFGYX6PMLGDVOGOWMO5BU9,A38RMJBVTCZ2UC,Approved,Mon Sep 07 17:43:06 PDT 2020,Mon Sep 07 18:03:15 PDT 2020,Tue Sep 08 18:03:15 PDT 2020,Tue Sep 08 06:02:23 PDT 2020,,,1209,100% (1/1),100% (1/1),100% (1/1),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-07-17_19_43.png,A. Atrial fibrillation (6%),B. Calcification of mitral valve (19%),C. Degree of mitral regurgitation (43%),D. Enlarged left atrium (5%),E. Severity of pulmonary hypertension (25%),,C,"An 32-year old woman comes to the physician because of shortness of breath while walking uphill or climbing steps for the last 3 months. She immigrated with her family to the United States from Thailand 15 years ago. She is a nurse's aide and had a recent work physical performed prior to starting a new job. The physician noted ""irregular heart sounds"" and performed an EKG, which showed atrial fibrillation with a ventricular rate of 85 beats per minute.
 A transthoracic echocardiogram showed normal left ventricular size and function with an ejection fraction of 60%. The left atrium was severely dilated and the mitre valve leaflets were thickened with restricted motion and mild focal calcification. The mitral valve area was calculated at 1.0 cm2 (normal 4-6 cm2) with a moderate degree of mitral regurgitation. The aortic valve was trileaflet without stenosis or regurgitation. There was moderate tricuspid regurgitation with an estimated pulmonary artery systolic pressure of 72 mm Hg, consistent with severe pulmonary hypertension (normal <30 mm Hg).
 Which of the following is a contraindication to percutaneous mitral balloon valvotomy in this patient?",,
3PIOQ99R7XLXCVGPY4D3QRS47VNUNB,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 08:05:30 PDT 2020,3,BatchId:4191076;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 08:05:30 PDT 2020,,,33PPO7FECVEM3CS65VFN03OLXXNIDC,A1U5XSR259KHJV,Approved,Sat Sep 19 08:21:11 PDT 2020,Sat Sep 19 08:29:37 PDT 2020,Sun Sep 20 08:29:37 PDT 2020,Sat Sep 19 16:41:00 PDT 2020,,,506,100% (25/25),100% (25/25),100% (25/25),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-18-22_03_46.png,Adding clonidine for better blood pressure control,Discontinuation of donepezil,Discontinuation of quinapril,Pharmacologic stress testing,Tilt table testing,,B,"An 86-year-old woman is evaluated in the office for a 2-month history of lightheadedness with episodes of near-syncope and imbalance that last for seconds. She has had no syncope or falls. The patient lives in a personal care home and performs most of her daily activities with some assistance. Her medical problems include mild Alzheimer dementia, hypertension, coronary artery disease with coronary artery bypass grafting, and mitral valve repair 10 years ago. Her medications include aspirin, quinapril, amlodipine, simvastatin, and donepezil.
 Her blood pressure is 162/82 mm Hg supine and 155/85 mm Hg standing. Her pulse is 50/min. Pulse oximetry is 96% on room air. She is alert and oriented to time and place. Cardiac examination shows a II/VI holosystolic murmur present at the apex. There are no carotid bruits. Lungs are clear to auscultation. ECG shows sinus bradycardia and QRS complex duration of 98 msec.
 Which of the following is the best next step in management of this patient?",,
360ZO6N6J0ITAL7MOS3CHGGQPK39MZ,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:19 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:19 PDT 2020,,,3LKC68YZ3A2V8430KLXICO9SGL5WO5,A1D6CUN4HL57KY,Approved,Fri Sep 18 21:33:08 PDT 2020,Fri Sep 18 22:02:52 PDT 2020,Sat Sep 19 22:02:52 PDT 2020,Sat Sep 19 06:53:04 PDT 2020,,,1784,100% (67/67),100% (67/67),100% (52/52),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_29_40.png,Carvedilol (2%),Dobutamine (1%),Furosemide (91%),Lisinopnl (2%),Nitroglycerin (2%),,C,"A 62-year-old retired firefighter is brought to the emergency department due to shortness of breath. The patient has been fairly active most of his life and had been walking 2-3 miles a day until 2 months ago. For the past several weeks he has had progressive fatigue and shortness of breath. He becomes symptomatic after walking only a few blocks on a level surface. The patient has gained 4.5-kg (10-lb) over the last 2 months. Last night he suddenly woke up ""gasping for air"" and could not get comfortable in any position. He has no significant medical history and has had no recent illnesses. The patient takes no regular medications. He has a 40-pack-year smoking history and drinks 4-6 beers a day. On physical examination, the patient appears comfortable at rest. Temperature is 37.2 C (99 F), blood pressure is 112/72 mm Hg, pulse is 92/min, and respirations are 22/min, Pulse oximetry shows 88% on room air. Jugular venous pressure is measured at 14 cm H2O. Lung examination reveals decreased breath sounds at the bases with bilateral crackles up to the lower one-third of the chest. Cardiac examination reveals irregular heart tones with an audible S3 over the cardiac apex. A 2/6 holosystolic murmur is heard over the cardiac apex. The patient has 3+ bilateral pitting edema up to the knees. Laboratory results are as follows: Serum chemistry Sodium 132-rEqL Potassium 3.6 mEq/L Chloride 132 TEql Bicarbonate 20 mEq/L Blood urea nitrogen 26 mg/dL Creatinine 1.2 mg/dL Calcium 9.2 mg/dL Glucose 162 mg/dL Liver function studies Total protein 6.9 g/dL Albumin 3.0 g/dL Bilirubin Total 1.0 mg/dL Direct 0.3 mg/dL Alkaline phosphatase 70 U/L Aspartate aminotransferase (SGOT) 108 U/L Alanine aminotransferase (SGPT) 79 U/L ECG shows atrial fibrillation at 94/min. There is an underlying left bundle branch block. Initial chest x-ray reveals cardiomegaly. pulmonary vascular congestion, and bilateral pleural effusions. Bedside echocardiogram shows a dilated and diffusely hypokinetic left ventricle with an ejection fraction of 30%. Right ventricular function is normal. The left atrium is mildly dilated. There is a central jet of moderate mitral regurgitation. Pulmonary artery systolic pressure is estimated at 45 mm Hg. Which of the following is the best initial therapy for this patient?",,
